Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00263553-02,AHR,StemRegenin 1,BGFHMYJZJZLMHW,Aryl Hydrocarbon Receptor (AhR) Antagonists
NCGC00095099-04,PDE5A,SILDENAFIL,VHGLSJBUAZVCNY,Phosphodiesterase V (PDE5) inhibitor
NCGC00165782-02,NSMAF,GW 4869,KDQKMUCWBRINRA,Neutral Sphingomyelinase (N-SMase) Inhibitor
NCGC00015958-02,MAPK8,SP 600125,ACPOUJIDANTYHO,JNK 1/2/3 Inhibitor
NCGC00346465-01,PIM3,GDC-0349,RGJOJUGRHPQXGF,Pim-3 Kinase Inhibitors_:_ mTOR
NCGC00094575-01,,TOLTERODINE HYDROCHLORIDE,OOGJQPCLVADCPB,Muscarinic M3 Antagonists
NCGC00346440-01,DRD2,U-95666E  ,RKZSNTNMEFVBDT,Dopamine D2 Agonist
NCGC00015708-17,,Maprotiline hydrochloride,QSLMDECMDJKHMQ,noradrenaline reuptake inhibitor
NCGC00346521-01,FDPS,Risedronate sodium,DRFDPXKCEWYIAW,Farnesyl Pyrophosphate Synthase Inhibitors
NCGC00183001-01,AVPR2,Tolvaptan,GYHCTFXIZSNGJT,Vasopressin (AVP) V2 Antagonists
NCGC00346460-02,IGFR1,BMS-536924,ZWVZORIKUNOTCS,IGF-1R Inhibitor
NCGC00241103-04,KIT,Masitinib;AB-1010?,WJEOLQLKVOPQFV,FGFR 3 Inhibitor
NCGC00016564-07,PRKAA1,Metformin HCl;ADX-155;La-6023;SMP-862,XZWYZXLIPXDOLR,AMP-Activated Protein Kinase (AMPK) Activator
NCGC00093802-08,,Dehydroepiandrosterone (DHEA),FMGSKLZLMKYGDP,Steroid hormone
NCGC00346563-01,TOP2A,Teniposide (Vumon),NRUKOCRGYNPUPR,DNA Topoisomerase II Inhibitors
NCGC00241099-01,SRC,Saracatinib;AZD-0530,OUKYUETWWIPKQR,cSRC inhibitor
NCGC00015061-12,,ACYCLOVIR,MKUXAQIIEYXACX,DNA Polymerase Inhibitors
NCGC00167429-05,TOP2A,Temozolomide,BPEGJWRSRHCHSN,DNA Topoisomerase II Inhibitors
NCGC00263098-03,TUBB,Combretastatin A-4,HVXBOLULGPECHP,Tubulin polymerization inhibitor
NCGC00164569-03,,Capecitabine (Xeloda),GAGWJHPBXLXJQN,Pyrimidine Antagonists
NCGC00345809-01,CDK1,Cdk/Crk Inhibitor,RSQPNXBTPUXMQN,CDK1/2/3/7/9 inhibitor
NCGC00242486-02,JAK1,AZD-1480,PDOQBOJDRPLBQU,Jak1/2 inhibitor
NCGC00181306-03,TUBB,,ZDZOTLJHXYCWBA,Tubulin depolymerization inhibitor
NCGC00347946-01,IDH1,,AATMNHPDEZNXEK,Isocitrate dehydrogenase inhibitor
NCGC00238624-04,GALK1,NCGC00238624,ORBGGGFENULXFO,GALK inhibitor
NCGC00177995-04,,Sarafloxacin HCl,XBHBWNFJWIASRO,Antibacterial
NCGC00241097-01,KIT,Tandutinib;CT-53518;MLN-0518,UXXQOJXBIDBUAC,KIT inhibitor
NCGC00346677-01,GSK3B,CHIR-98014,MDZCSIDIPDZWKL,GSK-3 inhibitor
NCGC00161703-02,NFKB1,NCGC00161703,GZGLPBNOIFLLRE,NF-kB/AP-1 activation inhibitor
NCGC00347907-01,P2RX7,A 804598,YMEXDSVGHUELRM,P2X7 Receptor Antagonist
NCGC00347909-01,P2RX7,A 839977,GMVNBKZQJFRFAR,P2X7 Receptor Antagonist
NCGC00262061-02,PRKCA,Bisindoylmaleimide X    HCl salt   (Ro 31-8425),QQKKPWJFHBFCTH,PKC inhibitor
NCGC00346501-01,,Bleomycin sulfate,OYVAGSVQBOHSSS,glycopeptide antibiotic
NCGC00094717-05,HPRT1,MERCAPTOPURINE,GLVAUDGFNGKCSF,Purine Antagonist
NCGC00346806-01,PRKCA,Endoxifen,MHJBZVSGOZTKRH,PKC inhibitor
NCGC00016345-09,,4-Methylumbelliferone (4-MU),HSHNITRMYYLLCV,hyaluronic acid (HA) synthesis
NCGC00346690-01,TRPV1,SB705498,JYILLRHXRVTRSH,TRPV1 (Vanilloid VR1 Receptor) Agonist
NCGC00242511-02,VDR,Seocalcitol;EB1089,LVLLALCJVJNGQQ,Vitamin D Analog
NCGC00025220-03,CDK1,Purvalanol B,ZKDXRFMOHZVXSG,CDK1/2/3/4/5 inhibitor
NCGC00242458-01,SIRT1,EX-527;SEN-0014196,FUZYTVDVLBBXDL,Histone Deacetylase SIRT1 Inhibitor
NCGC00263226-01,PDE2A,BAY-60-7550,OEARZJQHCLLMGS,Phosphodiesterase II (PDE2A) Inhibitor
NCGC00159491-05,,RIMANTADINE HYDROCHLORIDE,UBCHPRBFMUDMNC,M2 Channel Inhibitor
NCGC00346613-01,,NXY-059 (Cerovive),ZZFNASSSJJXJBJ,Free Radical Scavenger
NCGC00250409-01,TRPV4,GSK-1016790A,GAHDRVYSURNWNR,TRPV4 Agonist
NCGC00263884-03,HTR1B,Zolmitriptan (Zomig),ULSDMUVEXKOYBU,5-HT1B Agonist
NCGC00159370-05,,DOCOSANOL,NOPFSRXAKWQILS,Anti-Herpes Simplex Virus Drug
NCGC00018261-05,,Perhexiline,CYXKNKQEMFBLER,mitochondrial carnitine palmitoyltransferase-1 inhbitior
NCGC00244257-01,JAK1,CYT387,ZVHNDZWQTBEVRY,Jak1/2 inhibitor
NCGC00168085-02,HDAC1,Vorinostat;MK-0683;SAHA;Zolinza,WAEXFXRVDQXREF,Histone Deacetylase (HDAC) 1/2/3/6 Inhibitor
NCGC00250389-01,PLCG1,CDIBA,WCJGWNYPOLQBKZ,Phospholipase C inhibitor
NCGC00013822-03,SHH,GANT 58,USWLOKMMUTWFMD,Hedgehog antagonist
NCGC00346697-01,CNR2,GW-842166X,TWQYWUXBZHPIIV,cannabinoid CB2 agonist
NCGC00168781-01,PDE5A,Tadalafil,WOXKDUGGOYFFRN,Phosphodiesterase V (PDE5) inhibitor
NCGC00345836-01,PIM1,SMI-4a,NGJLOFCOEOHFKQ,Pim inhibitor
NCGC00229511-01,JAK1,Tofacitinib;CP-690550,UJLAWZDWDVHWOW,Jak inhibitor
NCGC00345790-01,PTGDR,Laropiprant,FKVDXYUOIFFOHY,prostaglandin D2 DP1 inhibitor
NCGC00263170-01,SMO,LY-2940680??,SZBGQDXLNMELTB,Smoothened (Smo) Receptor Antagonist
NCGC00253713-02,,Fenticonazole nitrate,ZCJYUTQZBAIHBS,Antifungal Agent
NCGC00345082-01,,KHS101,DGRJOOOHPBSAHD,lineage-specific differentiation enhancer
NCGC00263201-01,MET,AMG-51,ONSZEUCTVQJHOZ,HGFR (MET; c-Met) Inhibitor
NCGC00016418-14,CYP1A2,METHOXSALEN,QXKHYNVANLEOEG,Cytochrome P450 CYP1A2 Inhibitor
NCGC00346584-01,,Asiatic acid,JXSVIVRDWWRQRT,Nitric Oxide Production Inhibitors
NCGC00164631-03,FLT1,,WINHZLLDWRZWRT,VEGFR-1/2/3 Inhibitor
NCGC00188690-02,P2RY12,Prasugrel(Effient),DTGLZDAWLRGWQN,P2Y12 (P2T) Antagonists
NCGC00346618-01,MYH7,Omecamtiv mecarbil (CK-1827452),RFUBTTPMWSKEIW,Cardiac Myosin Activators
NCGC00346571-01,KIF11,SB 743921,PGXYIBJJCLWJST,Kinesin-Like Spindle Protein Inhibitor
NCGC00346569-01,,KW 2449,YYLKKYCXAOBSRM,Bcr-Abl inhibitor
NCGC00185997-03,PIK3CG,AS-252424,OYYVWNDMOQPMGE,PI3K gamma Inhibitor
NCGC00025235-01,,Streptozocin,ZSJLQEPLLKMAKR,DNA Alkylating Agent
NCGC00186009-03,PIK3CG,AS-604850,SRLVNYDXMUGOFI,PI3K gamma Inhibitor
NCGC00346967-01,CAMKK1,HMSL10089,UISRWLSAXIOCND,Calmodulin-Dependent Protein Kinase I Inhibitors
NCGC00015646-04,ADH1,FOMEPIZOLE HYDROCHLORIDE,RIKMMFOAQPJVMX,Alcohol Dehydrogenase Inhibitor
NCGC00015199-19,,CHLORAMBUCIL,JCKYGMPEJWAADB,DNA Alkylating Agent
NCGC00263216-02,MTOR,Torin 2,GUXXEUUYCAYESJ,mTORC1 Inhibitor
NCGC00241112-01,MAPK14,RWJ-67657,QSUSKMBNZQHHPA,p38 MAPK Inhibitor
NCGC00345837-01,PIK3CA,GNE-490,SFWTVVNNVHWDEE,PI3K Inhibitor
NCGC00250385-02,MAPK7,XMD8-92 trifluoroacetate,QAPAJIZPZGWAND,ERK5/BMK1 inhibitor
NCGC00018100-02,ROCK1,Fasudil,NGOGFTYYXHNFQH,ROCK Inhibitor
NCGC00346666-01,GABRA1,Ginkgolide A,FPUXKXIZEIDQKW,GABA(A) Receptor Antagonists
NCGC00263142-01,SERPINE1,Tiplasinin;PAI-039,ODXQFEWQSHNQNI,Plasminogen Activator Inhibitor (PAI-1) Inhibitor
NCGC00015580-08,HRH1,Ketotifen,ZCVMWBYGMWKGHF,Histamine H1 Receptor Antagonists
NCGC00263019-01,NFKB1,WAY-204688;SIM-688,JZPONCMNBSEYQW,NF-kappaB Activation Inhibitor
NCGC00025219-04,CDK1,Purvalanol A,PMXCMJLOPOFPBT,CDK1/2/3/4/5 inhibitor
NCGC00095165-05,,CARMOFUR,AOCCBINRVIKJHY,Pyrimidine Antagonists
NCGC00273984-03,MAPK11,SB-747651-A,MBCJUIJWPYUEBX,MSK-1_:_-2 Inhibitor
NCGC00347938-01,,,KIHYPELVXPAIDH,Lysophospholipid edg8 (S1P5) Receptor Ligands
,S1PR1,,,Lysophospholipid edg1 (S1P1) Receptor Agonists
NCGC00346643-01,HSP90AB1,Geldanamycin,QTQAWLPCGQOSGP,Heat Shock Protein 90 (hsp90) Inhibitor
NCGC00346589-01,,Cinchonidine,KMPWYEUPVWOPIM,Alkaloid
NCGC00092384-04,GRM5,Fenobam,DWPQODZAOSWNHB,mgluR5 Antagonists
NCGC00016530-06,,SULFAMETER,PGVZSIVBHMJAKA,Antibiotic
NCGC00163431-03,CTSB,CA-074 Me,XGWSRLSPWIEMLQ,Cathepsin B Inhibitors
NCGC00095188-04,,PANTOPRAZOLE,IQPSEEYGBUAQFF,H+/K+-ATPase Inhibitor
NCGC00177979-03,HRH1,AZELASTINE HYDROCHLORIDE,MBUVEWMHONZEQD,Histamine H1 Receptor Antagonists
NCGC00263116-01,WNT5A,ICG-001,HQWTUOLCGKIECB,Wnt Signaling Inhibitor
NCGC00346719-01,BACE1,LY2811376,MJQMRGWYPNIERM,beta-Secretase Inhibitor
NCGC00161679-01,PSMD1,benzyloxycarbonylleucyl-leucyl-leucine aldehyde,TZYWCYJVHRLUCT,Proteasome Inhibitor
NCGC00345056-01,DHODH,,XPRDUGXOWVXZLL,Dihydroorotate Dehydrogenase (DHODH) Inhibitor
NCGC00250404-01,PARP1,Veliparib;ABT-888/NSC-737664,JNAHVYVRKWKWKQ,PARP-1/PARP-2 Inhibitor
NCGC00016083-13,DRD2,Verapamil;E-0103?,SGTNSNPWRIOYBX,Calcium Channel Blocker
NCGC00182037-01,ACE,Alacepril,FHHHOYXPRDYHEZ,Angiotensin-I Converting Enzyme Inhibitor
NCGC00065934-06,,Oxcarbazepine,CTRLABGOLIVAIY,Sodium channel inhibitor
NCGC00095128-04,FAS,ORLISTAT,AHLBNYSZXLDEJQ,Fatty acid synthase inhibitor
NCGC00345800-01,ADORA2B,CVT-6883,KOYXXLLNCXWUNF,Adenosine A2B Antagonists
NCGC00346566-01,PDE4A,Roflumilast (Daxas),MNDBXUUTURYVHR,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00346958-01,LCK,HMSL10019,VVTHOUCIAGHQBD,Lck Kinase Inhibitors
NCGC00021301-04,,Fluocinolone acetonide,FEBLZLNTKCEFIT,Glucocorticoid steroid
NCGC00346682-01,,PA-824,ZLHZLMOSPGACSZ,nitric oxide donors
NCGC00016973-03,CYP19A1,Letrozole;CGS-20267;FEM-345?;Femara,HPJKCIUCZWXJDR,Aromatase Inhibitor
NCGC00095134-03,NPC1L1,Ezetimibe;Ezetrol;MK-0653;SCH-58235;Zetia;Zient,OLNTVTPDXPETLC,NPC1L1 Inhibitor
NCGC00094419-06,,TPCK,VYGZKBZYCVWKPS,Cysteine Protease Inhibitor
NCGC00263189-01,MET,JNJ-38877605,JRWCBEOAFGHNNU,HGFR (MET; c-Met) Inhibitor
NCGC00263101-01,ERBB2,CP-724714,LLVZBTWPGQVVLW,HER2 (erbB2) Inhibitor
NCGC00015482-05,,GALLAMINE TRIETHIODIDE,OZLPUNFFCJDMJD,Muscarinic M2 Antagonists
NCGC00016457-03,CYP3A4,NARINGENIN,FTVWIRXFELQLPI,Cytochrome P450 CYP3A4 Inhibitor
NCGC00346533-01,,BMS-790052,FKRSSPOQAMALKA,HCV NS5A Inhibitors
NCGC00163507-02,,Octylonium bromide,NQHNLNLJPDMBFN,Muscarinic Antagonists
NCGC00167982-02,TOP2A,,KMSKQZKKOZQFFG,DNA Topoisomerase II Inhibitors
NCGC00346689-01,MET,NVP-BVU972,RNCNPRCUHHDYPC,HGFR (MET; c-Met) Inhibitor
NCGC00263177-01,EGFR,CUDC-101,PLIVFNIUGLLCEK,EGFR (HER1; erbB1) inhibitor
NCGC00346699-01,EGFR,TAK-285,ZYQXEVJIFYIBHZ,EGFR (HER1; erbB1) inhibitor
NCGC00016311-16,ADRA1A,PHENTOLAMINE,MRBDMNSDAVCSSF,alpha-Adrenoceptor Antagonists
NCGC00346969-01,,JS-59-4,CRQUIISEMQYDFS,nitric oxide donors
NCGC00015767-09,,OXYBUTYNIN CHLORIDE,XIQVNETUBQGFHX,Muscarinic Antagonists
NCGC00163411-05,POLR2A,Triptolide,DFBIRQPKNDILPW,Inhibition of RNA polymerase II?mediated transcription
NCGC00182713-01,EGFR,Canertinib,OMZCMEYTWSXEPZ,EGFR (HER1; erbB1) inhibitor
NCGC00165736-02,PRKAA1,Acadesine;AICAR/AR-100/SCH-900395,RTRQQBHATOEIAF,AMP-Activated Protein Kinase (AMPK) Activator
NCGC00188689-01,DRD1,Asenapine,VSWBSWWIRNCQIJ,Dopamine D1/D2 Antagonist
NCGC00167798-02,,,DWAFYCQODLXJNR,DNA Alkylating Agent
NCGC00274068-02,,Itraconazole (Sporanox),VHVPQPYKVGDNFY,cytochrome inhibitor
NCGC00345804-01,MAP2K1,ARRY-162,ACWZRVQXLIRSDF,Mek 1/2 inhibitor
NCGC00096095-02,TERT,LS-174469,MHDPPLULTMGBSI,Telomerase Inhibitor
NCGC00168041-01,GRIN2A,Dextromethorphan Hydrobromide,MKXZASYAUGDDCJ,NMDA Antagonist
NCGC00250379-03,GSK3B,CHIR-99021 (CT-99021),AQGNHMOJWBZFQQ,GSK-3 inhibitor
NCGC00347910-01,CAMKK2,CK59,OXQIKGQQLYDQBM,Calmodulin-Dependent Protein Kinase II Inhibitors
NCGC00016916-12,TOP2B,NORFLOXACIN,OGJPXUAPXNRGGI,DNA Topoisomerase IV Inhibitors
NCGC00185773-02,,Clindamycin palmitate hydrochloride,OYSKUZDIHNKWLV,Antibacterial
NCGC00164591-02,,Artemether,SXYIRMFQILZOAM,antimalarial agents
NCGC00263223-01,PIK3CA,CAY10626,GMASZVAHNYVURN,PI3Kalpha inhibitor
NCGC00168110-01,AURKA,Tozasertib;MK-0457;VX-680??,GCIKSSRWRFVXBI,Aurora-A/B/C Kinase Inhibitor
NCGC00346552-01,MAP2K1,PD318088,XXSSGBYXSKOLAM,Mek 1/2 inhibitor
NCGC00022612-10,,CEFACLOR,QYIYFLOTGYLRGG,Cephalosporin antibiotic
NCGC00015925-13,,SULFAPHENAZOLE,MAJMNCJQOUUIHD,Antibiotic
NCGC00165721-02,,A 83-01,HIJMSZGHKQPPJS,TGF-bR1 (ALK5) inhibitor
NCGC00242493-01,KIT,Quizartinib;AC-220/ASP-2689,CVWXJKQAOSCOAB,KIT inhibitor
NCGC00346940-01,CDK1,CGP60474,IYNDTACKOAXKBJ,CDK1/2 Inhibitor
NCGC00263194-01,GSK3B,SB-216763,UVTLOYATPTULIH,GSK-3 inhibitor
NCGC00094552-04,,PYRANTEL PAMOATE,WLJNZVDCPSBLRP,antiparasitic agent
NCGC00016408-10,,SULFAPYRIDINE,GTTGUJMHVJOMHJ,Antibiotic
NCGC00242492-02,TERT,BIBR1532,PGFQXGLPJUCTOI,Telomerase Inhibitor
NCGC00181796-01,SSTR1,Octreotide,DEQANNDTNATYII,Growth Hormone Release Inhibitors
NCGC00023722-07,,5-FUdR,ODKNJVUHOIMIIZ,Pyrimidine Antagonists
NCGC00162142-03,MAPK14,SD169,GQMYQEAXTITUAE,p38 MAPK Inhibitor
NCGC00094112-06,GSK3B,BIO,DDLZLOKCJHBUHD,GSK-3 inhibitor
NCGC00346951-01,CDK4,Fascaplysin,WYQIPCUPNMRAKP,CDK4/6 Inhibitor
NCGC00346628-01,GCK,LY2608204,IUVLTDGKWVKNOC,Glucokinase activator
NCGC00018218-03,,MCI-186,QELUYTUMUWHWMC,Free Radical Scavenger
NCGC00016480-09,,Kaempferol,IYRMWMYZSQPJKC,flavanoid
NCGC00346734-01,,Betanin,CTMLKIKAUFEMLE,treatment of lipoprotein diseases
NCGC00263191-01,CDK2,PHA-690509,NFSKEXQRNDSSAN,CDK2/Cyclin A Inhibitor
NCGC00016268-09,,NIACIN,PVNIIMVLHYAWGP,Vitamin
NCGC00178054-05,,Clarithromycin (Biaxin_:_ Klacid),AGOYDEPGAOXOCK,Macrolide Antibiotic
NCGC00242489-01,RXRA,LG100268,SLXTWXQUEZSSTJ,RXR agonist
NCGC00013226-15,,Stelazine trifluoperzine,ZEWQUBUPAILYHI,Nav1.4 (SkM1) Sodium Channel Blockers
,DRD2,,,Nav1.7 (PN1/hNE-Na) Sodium Channel Blockers
NCGC00345792-01,PDE4A,AN2728,USZAGAREISWJDP,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00168109-01,ARHGEF1,Secin H3,QPGYAMIHXLCFTJ,GEF inhibitor
NCGC00161408-02,PDE3A,anagrelide;Agrelin;Agrylin;BL-4162A;BMY-26538-01;KRN-654;SPD-422;Thromboreductin;Xagrid,OTBXOEAOVRKTNQ,Phosphodiesterase III (PDE3) inhibitor
NCGC00167565-01,,Carbazochrome sodium sulfonate,OZCACMPSTYQSMM,Hemostatics
NCGC00015682-02,GRM5,MPEP,NEWKHUASLBMWRE,mgluR5 Antagonists
NCGC00346448-01,,Tariquidar,LGGHDPFKSSRQNS,P-Glycoprotein (MDR-1) Inhibitor
NCGC00095107-10,,GLICLAZIDE,YITCTTXYRGIEOT,K(ATP) Channel Blockers
NCGC00346597-01,,Puerarin (Kakonein),RIQBSCOBOICSFR,L-type Ca2+ channel blocker
NCGC00165722-02,CXCR4,Plerixafor 8HCl (DB06809),YIQPUIGJQJDJOS,Chemokine CXCR4 (SDF-1 Receptor) Antagonists
NCGC00181016-03,RXRA,,NAVMQTYZDKMPEU,Retinoid RXR Agonists?
NCGC00183130-01,,Ritonavir,NCDNCNXCDXHOMX,HIV Protease Inhibitors
NCGC00164619-04,CYP19A1,Anastrozole,YBBLVLTVTVSKRW,Aromatase Inhibitor
NCGC00015399-15,PTGS2,ETODOLAC,NNYBQONXHNTVIJ,Cyclooxygenase-2 Inhibitor
NCGC00249346-02,JAK2,SB1518,HUHKVPGEFTXMJK,Jak2 inhibitor
NCGC00345811-01,STAT3,LLL-12,RBDFKYXSKPLXSR,STAT-3 Inhibitor
NCGC00346585-01,,5-hydroxymethyl tolterodine (PNU 200577),DUXZAXCGJSBGDW,Muscarinic M3 Antagonists
NCGC00345829-01,SRC,PD173955,VAARYSWULJUGST,cSRC inhibitor
NCGC00346878-01,,SU 5402,JNDVEAXZWJIOKB,FGFR 1/3 inhibitor
NCGC00346483-01,EGFR,BMS-599626 (AC480),LUJZZYWHBDHDQX,EGFR (HER1; erbB1) Inhibitor
NCGC00015501-07,,Hydralazine hydrochloride,RPTUSVTUFVMDQK,Smooth Muscle Relaxant
NCGC00094818-08,AKR1C1,HEXESTROL,PBBGSZCBWVPOOL,17-betahydroxysteroid dehydrogenase inhibitor
NCGC00022678-07,PRKDC,Rifampicin,JQXXHWHPUNPDRT,DNA-Directed RNA Polymerase Inhibitor
NCGC00346578-01,EGFR,OSI-420 (Desmethyl Erlotinib),KOQIAZNBAWFSQM,EGFR (HER1; erbB1) inhibitor
NCGC00346623-01,,BMS-806 (BMS 378806),OKGPFTLYBPQBIX,HIV Attachment Inhibitor
NCGC00090797-11,,,LTMHDMANZUZIPE,Steroid
NCGC00249393-01,FLT1,,WPEWQEMJFLWMLV,VEGFR-2 inhibitor
NCGC00263163-02,MET,SGX-523,BCZUAADEACICHN,HGFR (MET; c-Met) Inhibitor
NCGC00015268-05,ADRA1A,Clonidine,GJSURZIOUXUGAL,alpha1-Adrenoceptor Agonists
NCGC00015448-04,MTOR,Salirasib;KD-032/ONO-7056,WUILNKCFCLNXOK,mTOR Inhibitor
NCGC00263231-01,PDK2,PDHK RIKEN,GSBFARPNIZUMHA,Pyruvate dehydrogenase kinases inhibitor
NCGC00179435-07,,Ifosfamide,HOMGKSMUEGBAAB,DNA Alkylating Agent
NCGC00017254-02,GBF1,Brefeldin A,KQNZDYYTLMIZCT,Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors
NCGC00017236-08,CYP2C9,,FXNFHKRTJBSTCS,Cyp2C9 Inhibitor
NCGC00346573-01,ERBB2,AZD8931,DFJSJLGUIXFDJP,HER2/3 (erbB2) Inhibitor
NCGC00346962-01,BTK,HMSL10077,RTRNJQOBEOISFQ,BTK Inhibitor
NCGC00250407-01,BRAF,CHIR-265;RAF-265,YABJJWZLRMPFSI,Raf kinase B/C inhibitor
NCGC00263018-01,PTK6,NCGC00263018-01,OOGMREBBHKGEMT,Brk/PTK6 inhibitor
NCGC00181131-02,TUBB,Epothilone B (EPO906),QXRSDHAAWVKZLJ,Tubulin depolymerization inhibitor
NCGC00160275-01,POLR2A,geliomitsin,ABLACSIRCKEUOB,RNA Polymerase Inhibitor
NCGC00095986-02,TOP1,10-Hydroxycamptothecin,HAWSQZCWOQZXHI,DNA Topoisomerase I Inhibitors
NCGC00016569-08,SERPINE1,TRANEXAMIC ACID,GYDJEQRTZSCIOI,Tissue-Type Plasminogen Activator Inhibitor (tPA) Inhibitor
NCGC00346484-01,PIK3CA,ZSTK474,HGVNLRPZOWWDKD,PI3K Inhibitor
NCGC00250396-01,MTOR,KU-0063794,RFSMUFRPPYDYRD,mTORC1/2 Inhibitor
NCGC00346530-01,MAP2K1,AS703026,VIUAUNHCRHHYNE,Mek 1/2 inhibitor
NCGC00016526-11,PTP4A1,BERBERINE CHLORIDE,YBHILYKTIRIUTE,Protein Tyrosine Phosphatase (PTP) Inhibitors
NCGC00263021-02,IKBKB,MLN-120B,ZNOLRTPMNMPLHY,IKK beta inhibitor
NCGC00346539-01,AURKA,CCT129202,QYKHWEFPFAGNEV,Aurora Kinase Inhibitor
NCGC00346802-01,ROCK2,Glycyl-H 1152 dihydrochloride,CMKMGFAUKPAOMG,ROCK II Inhibitor
NCGC00015937-02,GRIN2A,Spermidine trihydrochloride,ATHGHQPFGPMSJY,Drugs Acting on NMDA Receptors
NCGC00092314-04,AKT1,API-2,HOGVTUZUJGHKPL,PKB/Akt Inhibitor
NCGC00347281-01,MCL1,VU0483486-1,JCGVWZYEVNBCAJ,Mcl Inhibitor
NCGC00169864-03,NFKB1,Sesamin (Fagarol),PEYUIKBAABKQKQ,NF-kappaB Activation Inhibitor
NCGC00347956-01,NR1D1,,PPUYOYQTTWJTIU,Rev-erb alpha agonist
NCGC00165811-03,IKBKB,IMD 0354,CHILCFMQWMQVAL,IKK-2 Inhibitor
NCGC00347303-01,PRKCA,,GACOFEKSDCOVMV,PKC Activator
NCGC00018181-13,,NALIDIXIC ACID,MHWLWQUZZRMNGJ,Quinoline Antibiotic
NCGC00250412-01,BRD4,JQ1,DNVXATUJJDPFDM,Bromodomain-Containing Protein 4 (Brd4_:_ HUNK1) Inhibitor
NCGC00249612-01,PSMD1,,YTXSYWAKVMZICI,Proteasome Inhibitor
NCGC00347064-01,,,NHAMBLRUUJAFOY,p97 ATPase Inhibitor
NCGC00090726-11,IMPDH1,RIBAVIRIN,IWUCXVSUMQZMFG,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors
NCGC00179454-04,,Monensin sodium salt (Coban),GAOZTHIDHYLHMS,Polyether Antibiotic
NCGC00182052-03,SIRT1,SRT1720,IASPBORHOMBZMY,Histone Deacetylase/SIRT1 Activator
NCGC00346841-01,NOTCH1,LY-411575,ULSSJYNJIZWPSB,g-Secretase Inhibitor
NCGC00263197-01,LIMK1,BMS-5,IVUGBSGLHRJSSP,LIMK1/LIMK2 inhibitor
NCGC00346557-01,ESR1,LY500307 (Erteberel),XIESSJVMWNJCGZ,Estrogen Receptor (ER) beta Agonist
NCGC00263522-02,SRD5A1,Dutasteride,JWJOTENAMICLJG,Steroid 5alpha-Reductase Inhibitors
NCGC00025379-01,,SR 33805,KWAAABBJIYOBAJ,Ca2+ channel antagonist
NCGC00015918-05,HTR1B,SB-224289,ATQMRMGXINTJHV,5-HT1B Agonist
NCGC00344505-01,CASR,Calindol,JLPWXRZETODYFC,Calcium-Sensing Receptor (CaSR) Agonists
NCGC00015519-09,,DOPAMINE HCl,VYFYYTLLBUKUHU,neurotransmitter
NCGC00250390-01,HDAC1,ISOX,WWGBHDIHIVGYLZ,Histone Deacetylase (HDAC) 6 Inhibitor
NCGC00346620-01,PDE4A,GSK256066,AIEQMFKKQOLHNF,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00345825-01,LIMK1,BMS-3,YBGGBHCJSAEIAS,LIMK Inhibitor
NCGC00263127-01,MMP13,PD-166793,BTXFWURYTGXCCN,MMP-13 Inhibitor
NCGC00015919-04,ADRB1,Sotalol,JBELYSFONFSZTR,beta-Adrenoceptor Antagonists
NCGC00024929-01,HCN,ICI-D7288;ZD-7288?,JABSKGQQWUDVRU,HCN [I(h)] Blockers
NCGC00250085-01,PDE4A,NVP-ABE171,IALXIRPKVRUJQO,Phosphodiesterase IIII (PDE4) inhibitor
NCGC00015892-07,PTGS2,Rutaecarpine (Rutecarpine),ACVGWSKVRYFWRP,Cyclooxygenase-2 Inhibitor
NCGC00178707-03,MTNR1A,Ramelteon (TAK-375),YLXDSYKOBKBWJQ,Melatonin MT1/MT2 Agonist
NCGC00186628-01,CHRM1,BUTYLSCOPOLAMMONIUM Br,YBCNXCRZPWQOBR,Muscarinic acetylcholine receptor Antagonists
NCGC00242479-01,EDNRA,Zibotentan;ZD-4054,SOMYEPUSNJJLPY,Endothelin ETA Receptor Antagonist
NCGC00164594-01,,Loteprednol etabonate,DMKSVUSAATWOCU,Corticosteroid
NCGC00163547-02,,Ecdysone,UPEZCKBFRMILAV,Steroid prohormone
NCGC00015697-11,CYP1A2,,IKMDFBPHZNJCSN,Cytochrome P450 CYP1A2 Inhibitor
NCGC00346586-01,,Baicalin,IKIIZLYTISPENI,prolyl endopeptidase inhibitor
NCGC00346619-01,PDGFRA,PP-121,NVRXTLZYXZNATH,PDGFR Inhibitor
NCGC00346514-01,,Bafetinib (INNO-406),ZOPBZHLJXQAQON,Bcr-Abl Kinase Inhibitor
NCGC00183875-01,ADRB1,rac Nebivolol hydrochloride,KOHIRBRYDXPAMZ,beta1-Adrenoceptor Antagonists
NCGC00183867-01,,Aloin,AFHJQYHRLPMKHU,Stimulant laxative
NCGC00346825-01,MYC,10074-G5,KMJPYSQOCBYMCF,MYC Expression Inhibitors
