Sample ID,Structure,Sample Name,Drug Name,NCGC Unique ID,Primary Mechanism of Action,Gene Symbol
NCGC00167811-03,OC(=O)CCC1=CC=C(NCC2=CC=CC(=C2)OC3=CC=CC=C3)C=C1,GW-9508,,DGENZVKCTGIDRZ,Free Fatty Acid Receptor 1 Agonist,FFAR1
NCGC00164559-04,CNCC[C@H](OC1=CC=CC2=C1C=CC=C2)C3=CC=CS3,DULOXETINE HYDROCHLORIDE,,ZEUITGRIYCTCEM,Serotonin Transporter (SERT) Inhibitor,SLC6A4
NCGC00263222-01,CC1(C)OC/2=C(\[C@H](NCC3=CC=CC=C3)[C@@H]1O)C(=O)C4=CC=CC=C4C2=O,CAY10581,,WKHJQIQDQXGUOD,"Indoleamine 2,3-dioxygenase (IDO) inhibitor",IDO1
NCGC00166413-03,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)N[S+]([O-])(=O)C2=CC=CC3=C2NCC(C)C3,Argatroban,,CNTULEDKWPCJCH,Thrombin Inhibitors,
NCGC00165875-03,COC1=C2CCCC(CCCN3CCN(CC3)C4CCCCC4)C2=CC=C1,,,PHRCDWVPTULQMT,sigma1/2 Receptor Agonist,SIGMAR1
NCGC00263161-01,OCC[N]1C=C(C=N1)C2=CN=C3N=N[N](CC4=CC=C5N=CC=CC5=C4)C3=N2,PF-04217903,,PDMUGYOXRHVNMO,HGFR (MET; c-Met) Inhibitor,MET
NCGC00167832-04,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C4=CC=CC=C4[NH]3)C=CC=C1,Carvedilol,,OGHNVEJMJSYVRP,beta1-Adrenoceptor Antagonists,ADRB1
NCGC00164553-03,NC1=NC(=NC2=C1N=C[N]2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)Cl,,,WDDPHFBMKLOVOX,DNA Polymerase Inhibitors,
NCGC00345824-01,FC1=CC=C(C=C1)N2/C=C\C=C(C(=O)NC3=CC=C(OC4=C5C=C[NH]C5=NC=C4)C(=C3)F)/C2=O,BMS-2,,OBSFXHDOLBYWRJ,HGFR (MET; c-Met) Inhibitor,MET
NCGC00015871-07,[H]C(O)(C1=CC=NC2=CC=C(OC)C=C12)[C@@]3([H])CC4CCN3C[C@]4([H])C=C,,,LOUPRKONTZGTKE,Cytochrome P450 CYP2D6 Inhibitors,CYP2D6
NCGC00346945-01,COC1=CC=C(C=C1OC)C2=CC3=NC=C[N]3C(=N2)NC4=NC=CC=C4C(N)=O,BAY 61-3606 (dihydrochloride),,JWQOJVOKBAAAAR,Syk Kinase inhibitor,SYK
NCGC00346824-01,CCOC(=O)C(=O)CBr,3-Bromopyruvate,,VICYTAYPKBLQFB,Hexokinase 2 Inhibitors,HK2
NCGC00263234-01,CCCCC1=CC=C(N[S+]([O-])(=O)C2=CC=C(C)C(=C2)C(=O)N3CCN(CC3)C4=CC=CC(=C4C)C)C=C1,IDH-001,,BFKJDNZMRAJJSM,Isocitrate dehydrogenase inhibitor,IDH1
NCGC00346946-01,CC1=CC=C(NC2=NC=NC(=C2)C3=CC=CC(=C3)N4C(=O)C5=C(C=CC=C5)C4=O)C=C1N[S+](C)([O-])=O,CDK9 inhibitor,,RQJWQWGHVBUDEH,CDK 9 Inhibitor,CDK9
NCGC00186046-02,CCN(CC)CCN1C(=O)\C(=N/C2=CC=CC=C12)CC3=CC=C(OC)C=C3,Caroverine hydrochloride,,MSPRUJDUTKRMLM,AMPA Antagonist,
NCGC00346509-01,O=C1NC(=O)/C(S1)=C/C2=CC=C3N=CC=C(C4=CC=NC=C4)C3=C2,GSK1059615,,QDITZBLZQQZVEE,PI3Kalpha inhibitor,PIK3CA
NCGC00345783-01,COC[C@H]1OC(=O)C2=COC3=C2[C@@]1(C)\C4=C(\[C@@H]5CC[C@H](O)[C@@]5(C)C[C@H]4OC(C)=O)C3=O,17?-hydroxy Wortmannin,,XLJORQYAOTYVQS,PI3K Inhibitor,PIK3CA
NCGC00025329-02,COC1=NC(=CC=N1)C2=C(N=C[N]2C3CCC(O)CC3)C4=CC=C(F)C=C4,SB 239063,,ZQUSFAUAYSEREK,p38 MAPK Inhibitor,MAPK14
NCGC00346952-01,CCNC1=NC(=NC(=C1)NC2CCC(O)CC2)NC3=CC=C4[N](CC5=CC=CC=C5)C=CC4=C3,Cdk4/6 Inhibitor IV,,YVXCDLCJCIDFHE,CDK4/6 Inhibitor,CDK4
NCGC00263089-02,CCN(CCO)CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=N[NH]C(=C3)CC(=O)NC4=CC(=CC=C4)F,AZD-1152-HQPA,,QYZOGCMHVIGURT,Aurora-A/B Inhibitor,AURKA
NCGC00346930-01,CC\1=C/C=C\C=[N]1[Pt](N)(Cl)Cl,Picoplatin,,SAVHJPPSRMPTLD,DNA Alkylating Agent,
NCGC00094792-06,NC/1=N/C2=C([NH]C=N2)C(=S)N1,THIOGUANINE,,WYWHKKSPHMUBEB,Purine Antagonist,
NCGC00346503-01,CCCCCCCCCCCCCCCCCCO[P]([O--])(=O)OC1CC[N+](C)(C)CC1,Perifosine,,LHJQEUOALPPIHG,PI3K kinase activator,PIK3CA
NCGC00346541-01,COC1=CC(=CC(=C1)NC2=NC3=CC=CC=C3N=C2N[S+]([O-])(=O)C4=CC=C(NC(=O)C5=CC=C(C)C(=C5)OC)C=C4)OC,XL765,,KMIWOICBVVQOIM,mTORC1/2 inhibitor,MTOR
NCGC00016384-14,CC1=NOC(=C1C)N[S+]([O-])(=O)C2=CC=C(N)C=C2,SULFISOXAZOLE,,ZFHZOWBJESYXNS,Antibiotic,
NCGC00159460-02,O[C@H](CN1CCN(CC4=CC=CN=C4)C[C@H]1[C@@](NC(C)(C)C)=O)C[C@@H](CC5=CC=CC=C5)C(N[C@@H]2[C@H](O)CC3=C2C=CC=C3)=O.O=S(O)(O)=O,Indinavir sulfate,"Indinavir;Indinavir, Sulfate (1:1);L735,52;LS-102243;MK 63;INDINAVIR;CIPLUS_197177;indinavirum;INDINAVIR ANHYDROUS;L-735 524;Indinavir sulfate;(2R,4S)-2-Benzyl-5-[2-(tert-butylcarbamoyl)-4-(3-pyridylmethyl)piperazin-1-yl]-4-hydroxy-N-[(1S,2R)-2-hydroxyindan-1-yl]valeramide;Indinavir sulphate;Indivanir Sulfate;Indinavir Sulfate Ethanolate;(.ALPHA.R,.GAMMA.S,2S)-.ALPHA.-BENZYL-2-(TERT-BUTYLCARBAMOYL)-.GAMMA.-HYDROXY-N-((1S,2R)-2-HYDROXY-1-INDANYL)-4-(3-PYRIDYLMETHYL)-1-PIPERAZINEVALERAMIDE;L 735 52;[1(1 S ,2 R ),5( S )]-2,3,5-trideoxy- N -(2,3-dihydro-2-hydroxy-1 H -inden-1-yl)-5-[2-[ [(1,1-dimethylethyl)amino]carbonyl]-4-(3-pyridinyl-methyl)-1-piperazinyl] -2  -(phenylmethyl)-D- erythro -pentonamide sulfate (1:1) salt;Sulfate, Indinavi;L-735,524;D-ERYTHRO-PENTONAMIDE, 2,3,5-TRIDEOXY-N-(2,3-DIHYDRO-2-HYDROXY-1H-INDEN-1-YL)-5-(2-(((1,1-DIMETHYLETHYL)AMINO)CARBONYL)-4-(3-PYRIDINYLMETHYL)-1-PIPERAZINYL)-2-(PHENYLMETHYL)-, MONOHYDRATE, (1(1S,2R),5(S))-;LS-173708;CIPLUS_197165;Indinavir sulfate ethanolate;CIPLUS_682337;L 735,52;INDINAVIR SULFATE;Crixivan;INDINAVIR SULFATE ETHANOLATE;D-ERYTHRO-PENTONAMIDE, 2,3,5-TRIDEOXY-N-(2,3-DIHYDRO-2-HYDROXY-1H-INDEN-1-YL)-5-(2-(((1,1-DIMETHYLETHYL)AMINO)CARBONYL)-4-(3-PYRIDINYLMETHYL)-1-PIPERAZINYL)-2-(PHENYLMETHYL)-, (1(1S,2R),5(S))-;MK63;indinavir;INDINAVIR SULPHATE;HS_378;MK-639;Indinavir Sulfate;(.ALPHA.R,.GAMMA.S,2S)-.ALPHA.-BENZYL-2-(TERT-BUTYLCARBAMOYL)-.GAMMA.-HYDROXY-N-((1S,2R)-2-HYDROXY-1-INDANYL)-4-(3-PYRIDYLMETHYL)-1-PIPERAZINEVALERAMIDE MONOHYDRATE;L735 52;mk639;LS-173382;",CBVCZFGXHXORBI,HIV Protease Inhibitors,
NCGC00345791-01,COC1=CC(=CC=C1NC2=NC=NC(=N2)NC3=CC=CC=C3[S+]([O-])(=O)C(C)C)N4CCC(CC4)N5CCN(C)CC5,ASP-3026,,NYTBHLBEYLIGQD,Anaplastic Lymphoma Kinase (ALK) Inhibitor,ALK
NCGC00346632-01,COC1=CC=C(F)C(=C1C(=O)C2=C(N)N=C(NC3CCN(CC3)[S+](C)([O-])=O)N=C2)F,R547,,VZYAVWNUJRPGON,CDK1/2/4 Inhibitor,CDK1
NCGC00347952-01,CC(=N/NC(=S)N1CCC1)\C2=NC=CC=C2,,,XDHBUMNIQRLHGO,Mutant p53 Activator,
NCGC00015429-08,C1=CC=CC=C1C(COC(N)=O)COC(N)=O,Felbamate,"Essex brand of felbamate;2-Phenyl-1,3-propanediol dicarbamate;Schering brand of felbamate;Wallace brand 2 of felbamate;LS-120706;2-PHENYL-1,3-PROPANEDIOL DICARBAMATE;Schering-Plough brand of felbamate;Felbamyl;ADD-03055;NCGC00023092-06;NCGC00023092-05;NCGC00023092-04;NCGC00023092-02;felbamatum;Felbatol;PHENAMATE;2-phenyl-1,3-propanediol dicarbamate;NCGC00015429-01;felbamate;HS_584;W-554;CIPLUS_174913;Felbamate;FELBAMATE;WHO NO. 5686;Taloxa;Wallace brand 1 of felbamate;",WKGXYQFOCVYPAC,GABAA Receptor Modulator,GABRA1
NCGC00095124-06,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C3=CC=CC=N3,ROSIGLITAZONE,,YASAKCUCGLMORW,PPARgamma Agonists?,PPARG
NCGC00017369-10,COC1=CC=C(C=C1)C/2=C/OC3=C(C(=CC(=C3)O)O)C2=O,Biochanin A (4-Methylgenistein),,WUADCCWRTIWANL,flavanoid,
NCGC00263111-01,[O-][S+](=O)(CCNC(=O)C1=CC=C(Cl)C=C1)C2=NC=C(C=C2)C(F)(F)F,GSK-3787,,DIWFBNCEABPYPW,PPARdelta Antagonist,PPARD
NCGC00346838-01,COC1=CC(=CC=C1O)C[C@@H](CO)[C@H](CO)CC2=CC(=C(O)C=C2)OC,Secoisolariciresinol,,PUETUDUXMCLALY,phenylpropanoid,
NCGC00142483-02,NC\1=N\C(=O)N(\C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,Cytidine,,UHDGCWIWMRVCDJ,nucleoside,
NCGC00016936-03,C[C@H]1[C@H](NC(=O)\C(=N\OC(C)(C)C(O)=O)C2=CSC(=N2)N)C(=O)N1[S+](O)([O-])=O,AZTREONAM,,MNINXOFOQTVYHD,beta-lactam antibiotic,
NCGC00263527-02,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN,Isepamicin Sulphate,,UDIIBEDMEYAVNG,30S Ribosomal Protein Inhibitors,
NCGC00015034-02,NC(=O)C1=CC(=CC=C1)N,3-Aminobenzamide,"3-Aminobenzamide;meta-aminobenzamide;3-aminobenzamide;NCGC00024792-01;LS-25343;benzamide, 3-amino-;3-AB cpd;m-Aminobenzamide;NCGC00015034-01;CIPLUS_207084;3-AB;Aminobenzamide (3-ABA) [3-aminobenzamide (3-ABA)];NCGC00024792-02;3-AMINOBENZAMIDE;3-ABA;NCGC00024792-04;Benzamide, m-amino-;NCGC00024792-05;",GSCPDZHWVNUUFI,PARP Inhibitor,PARP1
NCGC00345799-01,COC[C@H](NC(=O)[C@H](COC)NC(=O)C1=CN=C(C)S1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[C@@]3(C)CO3,Oprozomib,,SWZXEVABPLUDIO,Proteasome Inhibitor,PSMD1
NCGC00024427-03,OC1=CC=C2C[C@H]3N(CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O)CC6CC6,,NALTREXONE HCl,DQCKKXVULJGBQN,mu-Opioid Antagonists,OPRM1
NCGC00092284-03,OC(=O)C1=CC2=CC=C(C=C2C=C1)C3=CC=C(O)C(=C3)C45CC6CC(CC(C6)C4)C5,CD 437,,LDGIHZJOIQSHPB,RARgamma Agonist,RARG
NCGC00182058-03,O[C@H]3C[C@H](O)C/C(C3=C)=C/C=C1CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@]/12[H],Doxercalciferol;TSA-840,1alpha-hydroxyvitamin D2;1A-HYDROXYVITAMIN D2;DOXERCALCIFEROL;doxercalciferolum;doxacalciferol;1 alpha-hydroxyergocalciferol;doxercalciferol;Hectorol;HECTOROL;Bone Care brand of 1 alpha-hydroxyergocalciferol;1alpha-OHD2;1A-HYDROXYERGOCALCIFEROL;CIPLUS_700330;Draxis brand of 1 alpha-hydroxyergocalciferol;1alpha(OH)2D2;,DAQLPCKTVQWADC,Vitamin D Analog,VDR
NCGC00015252-13,CN1CCC(CC1)=C2C3=C(C=CC=C3)\C=C/C4=C2C=CC=C4,CYPROHEPTADINE HYDROCHLORIDE,,JJCFRYNCJDLXIK,Histamine H1 Receptor Antagonists,HRH1
NCGC00183808-06,CN(C)CCCNC(=O)C1=CC=C(C=C1)C2=CC3=CC=CN=C3C(=C2)O,,,QDBVSOZTVKXUES,JMJ inhibitor,JARID2
NCGC00164789-05,C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)CC4=CC(=CC=C34)O)[C@@H]1CC[C@@H]2O,Fulvestrant (Faslodex),,VWUXBMIQPBEWFH,Estrogen Receptor Antagonist,ESR1
NCGC00250382-01,C[C@H]1CN(C[C@@H](C)O1)C2=NC=C(NC(=O)C3=C(C)C(=CC=C3)C4=CC=C(OC(F)(F)F)C=C4)C=C2,NVP-LDE-225;Erismodegib;LDE-225,,VZZJRYRQSPEMTK,Smo Receptor Antagonist,SMO
NCGC00091281-07,CN(C)NC(=O)CCC(O)=O,,,NOQGZXFMHARMLW,KDM2/7 Histone Demethylases Inhibitor,
NCGC00346739-01,CCOC(=O)NC1=CC=C(NCC2=CC=C(F)C=C2)C=C1N,Retigabine,,PCOBBVZJEWWZFR,Voltage-Gated K(V) 7 (KCNQ) Channel Activator,KCNQ1
NCGC00015385-12,OCCN(CCO)C1=NC(N4CCCCC4)=C2C(C(N3CCCCC3)=NC(N(CCO)CCO)=N2)=N1,Dipyridamole,"NCGC00023914-04;dipyridamole;NCGC00023914-05;NCGC00023914-06;NCGC00023914-02;TX-3301;Ethanol, 2,2',2'',2'''-((4,8-di-1-piperidinylpyrimido(5,4-d)pyrimidine-2,6-diyl)dinitrilo)tetrakis-;NCGC_Prestw-142;2,2',2'',2'''-((4,8-DIPIPERIDINOPYRIMIDO(5,4-D)PYRIMIDINE-2,6-DIYL)DINITRILO)TETRAETHANOL;NCGC00023914-08;NCGC00023914-09;DIPYRIDAMOLE;CIPLUS_10555947;LS-178622;CIPLUS_713654;TX 3301;LS-66732;Persantine;AGGRENOX;CIPLUS_3742249;Dipyridamolum;Prandiol;NCGC00015385-01;NCGC00015385-02;CIPLUS_148864;dipyridamolum;ETHANOL, 2,2',2'',2'''-((4,8-DI-1-PIPERIDINYLPYRIMIDO(5,4-D)PYRIMIDINE-2,6-DIYL)DINITRILO)TETRAKIS-;HS_1101;2,2',2'',2'''-((4,8-DIPIPERIDIN-1-YLPYRIMIDO(5,4-D)PYRIMIDINE-2,6-DIYL)DINITRILO)TETRAETHANOL;HS_483;Dipyridamole;Asasantin;Dipiridamol;",IZEKFCXSFNUWAM,Phosphodiesterase III/V (PDE5) inhibitor,PDE5A
NCGC00346885-01,CN1CCN(CC1)C2=NC(=C(C=N2)C3=CC(=CC(=C3Cl)Cl)Cl)N,Sipatrigine,,PDOCBJADCWMDGL,Nav1.2 (Brain Type II) Sodium Channel Blockers,SCN2A
NCGC00016759-03,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O,NAPROXEN(+),,CMWTZPSULFXXJA,Cyclooxygenase-1/2 Inhibitor,PTGS2
NCGC00263085-01,CC1=CC(=CC=N1)C2=CC=C(CC(=O)NC3=CC=C(C=C3)C4=CC=CN=C4)C=C2,Wnt-C59,,KHZOJCQBHJUJFY,Wnt signaling modulator,WNT5A
NCGC00015150-04,C[N+](C)(C)CC(O)=O,Betaine,,KWIUHFFTVRNATP,nitric oxide donors,
NCGC00018294-06,ClC1=CC=C(COC(C[N]2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C(=C1)Cl,MICONAZOLE NITRATE,,BYBLEWFAAKGYCD,Aromatase Inhibitor,CYP19A1
NCGC00188864-01,CC(=O)c4ccc(OCCCN1CCC(CC1)c3noc2cc(F)ccc23)c(OC)c4,Iloperidone,Iloperidone,XMXHEBAFVSFQEX,Dopamine D2 Antagonist,DRD2
NCGC00015075-07,COC(=O)\C1=C\CCN(C)C1,,ARECOLINE HBr,HJJPJSXJAXAIPN,Muscarinic receptor Agonists,
NCGC00016245-01,CN1[C@H]2CC(C[C@@H]1[C@@H]3O[C@H]23)OC(=O)[C@@H](CO)C4=CC=CC=C4,Scopolamine hydrochloride,"Hyoscine hydrobromide;1-alpha-H,5-alpha-H-Tropan-3-alpha-ol, 6-beta,7-beta-epoxy-, (-)-tropate (ester),hydrobromide;NCGC00094781-02;AB02540553-01;LS-567;NCGC00094781-01;Scopolamine hydrobromide trihydrate;Hyoscine methyl nitrate;NCGC00094354-01;Methscopolamine nitrate;NCGC00162334-01;Scopolamine Hydrobromide;LS-144659;6.BETA.,7.BETA.-EPOXY-1.ALPHA.H,5.ALPHA.H-TROPAN-3.ALPHA.-OL (-)-TROPATE (ESTER);Scopolamine hydrobormide;Hyoscine hydrochloride;HYOSCINE HYDROBROMIDE;Scopolamine hydrochloride;TRANSDERM SCOP;(1R,2R,4S,5S,7S)-9-METHYL-3-OXA-9-AZATRICYCLO(3.3.1.02,4)NON-7-YL (2S)-3-HYDROXY-2-PHENYLPROPANOATE;NCGC00015932-01;CIPLUS_204105;CIPLUS_3727155;CIPLUS_151378;CIPLUS_148601;SCOPOLAMINE;(-)-Scopolamine hydrobromide;Scopolamine;BENZENEACETIC ACID, .ALPHA.-(HYDROXYMETHYL)-, 9-METHYL-3-OXA-9-AZATRICYCLO(3.3.1.02,4)NON-7-YL ESTER, (7(S)-(1.ALPHA.,2.BETA.,4.BETA.,5.ALPHA.,7.BETA.))-;Transderm scop;Scopolamine hydrobromide;Benzeneacetic acid, alpha-(hydroxymethyl)-, 9-methyl-3-oxa-9-azatricyclo(3.3.1.02,4)non-7-yl ester, (7(S)-(1alpha,2beta,4beta,5alpha,7beta))-;NCGC_Prestw-877;HS_1258;(-)Scopolamine methyl nitrate;Benzeneacetic acid, Alpha-(hydroxymethyl)-, 9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]non-7-yl ester, [7(S)-(1Alpha,2  ,4  ,5Alpha,7  )]-;(-)-Scopolamine hydrochloride;NCGC00016245-01;AB08006200-01;SCOPOLAMINE HYDROBROMIDE;Isopto hyoscine;CIPLUS_3862368;(-)-Scopolamine hydrobromide trihydrate;Hyoscine;CIPLUS_3861971;Scopolamine methyl bromide;Scopine tropate;CIPLUS_692682;BENZENEACETIC ACID, .ALPHA.-(HYDROXYMETHYL)-,   (1.ALPHA.,2.BETA.,4.BETA.,5.ALPHA.,7.BETA.)-9-METHYL-3-OXA-9-   AZATRICYCLO(3.3.1.02,4)NON-7-YL ESTER, (.ALPHA.S)-;CIPLUS_206597;Scopolamine (-);Hysco;CIPLUS_755173;NCGC00024357-02;",STECJAGHUSJQJN,Muscarinic Antagonists,
NCGC00242505-01,C[C@@H]1C[C@H]2[C@@H]3\C=C(C)/C4=C/C5=C(C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)C=N[N]5C6=CC=CC=C6,deacetyl cortivazol,,BIHIECYYKNMWLX,Glucocorticoid Receptor (GR) Agonist,
NCGC00345858-01,FC1=C(NC(=O)C2=C(Cl)C(=CC=C2)C3(CC3)C#N)C=C(OC4=NC5=C(C=C4)N=C(NC(=O)C6CC6)S5)C=C1,Takeda-6d,,MDPMAXSABUPRJI,VEGFR-2 (FLK-1/KDR) Inhibitors,FLT1
NCGC00160421-02,COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1,Tetrabenazine,,MKJIEFSOBYUXJB,Vesicular Monoamine Transporter 2 (VMAT2) Inhibitor,SLC18A2
NCGC00015254-12,C1(Cl)=CC=C3C(=C1)N=C(N2CCN(C)CC2)C4=C(N3)C=CC=C4,Clozapine,"NCGC_Prestw-350;Leponex;8-Chloro-11-(4-methyl-1-piperazinyl)-5H-dibenzo[b,e][1,4]-diazepine;Clo-Glu;5H-Dibenzo(b,e)(1,4)diazepine, 8-chloro-11-(4-methyl-1-piperazinyl)-;8-CHLORO-11-(4-METHYL-1-PIPERAZINYL)-5H-DIBENZO(B,E)(1,4)DIAZEPINE;clozapine;NCGC00015254-01;NCGC00022902-08;NCGC00015254-02;Clozaril;clozapine N-glucuronide;NCGC00022902-09;CLOZAPINE N-OXIDE;8-Chloro-11-(4-methyl)-1-piperazinyl)-5H-dibenzo[b,e][1,4]diazepine;CIPLUS_726327;NCGC00022902-04;Clozapinum;NCGC00022902-05;CLOZAPINE;NCGC00022902-06;CIPLUS_164725;N-DESMETHYL CLOZAPINE;LS-60881;NCGC00022902-02;clozapinum;Clozapina;clozapin;clozapine N(+)-glucuronide;Clozapine;",QZUDBNBUXVUHMW,Dopamine D4 Antagonist,DRD4
NCGC00263858-03,O=C1O[Pt]OC(=O)C12CCC2,Carboplatin,,ZSWVADAIGMSQBB,DNA Alkylating Agent,
NCGC00347284-01,COC1=C(OCC2C[C@@H]3CN(C)C[C@@H]3C2)C=C4N=CN=C(NC5=C(F)C(=C(Cl)C=C5)Cl)C4=C1,XL-647,,HVXKQKFEHMGHSL,EGFR (HER1; erbB1) Inhibitor,EGFR
NCGC00167507-03,C[S+]([O-])(=O)CCNCC1=CC=C(O1)C2=CC3=C(NC4=CC=C(OCC5=CC(=CC=C5)F)C(=C4)Cl)N=CN=C3C=C2,Lapatinib;GW-572016F?;Tykerb,,AFMAWJOZFIKBOB,EGFR (HER1; erbB1) inhibitor,EGFR
NCGC00159406-11,NC[C@H](O)C1=CC=C(O)C(=C1)O,NOREPINEPHRINE,,SFLSHLFXELFNJZ,alpha/beta-adrenoceptor agonist,ADRA1A
NCGC00159559-01,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]4O[C@@]45[C@@]2([H])[C@@H](CC6=CC(=O)CC[C@]56C)C(=O)OC,,"METHYL HYDROGEN 9,11A-EPOXY-17A-HYDROXY-3-OXOPREGN-4-ENE-7A,21-DICARBOXYLATE, GAMMA-LACTONE;eplerenonum;NCGC00159559-02;CGP-30083;NCGC00159559-01;CGP 30083;CIPLUS_727860;HS_747;LS-172058;Inspra;SC-66110;Pharmacia brand of eplerenone;Eplerenone;9   Eplerenone;EPLERENONE;eplerenone;epoxymexrenone;",JUKPWJGBANNWMW,Mineralocorticoid Receptor (MR) Antagonist,NR3C2
NCGC00263149-01,CCN1CCN(CC1)CC2=CC=C(C=C2)C3=CC4=C(N[C@H](C)C5=CC=CC=C5)N=CN=C4[NH]3,AEE-788,,OONFNUWBHFSNBT,EGFR (HER1; erbB1) inhibitor,EGFR
NCGC00016872-09,ClC1=C(CN2CCC3=C(C2)C=CS3)C=CC=C1,,TICLOPIDINE,PHWBOXQYWZNQIN,P2Y12 (P2T) Antagonists,P2RY12
NCGC00185772-01,O=S(=O)(O)O.O=C(OC)[C@@]2(C[C@H]4C[C@@](O)(CC)C[N@@](CCc1c3ccccc3nc12)C4)c5cc9c(cc5OC)N(C)[C@@H]6[C@]98CCN7CC=C[C@@](CC)([C@@H](O)[C@]6(O)C(N)=O)[C@H]78,Vindesine sulfate salt,,HHJUWIANJFBDHT,Tubulin polymerization inhibitor,TUBB
NCGC00015520-10,NC(=O)NO,HYDROXYUREA,,VSNHCAURESNICA,Ribonucleoside-Diphosphate Reductase Inhibitors,RRM1
NCGC00165966-02,O=[C@@](OC)[C@](C(N3)=C(C4)C2=C3C=CC=C2)([C@@]5=CC([C@]69[C@]8([H])[C@](C=CCN8CC9)(CC)[C@@H](OC(C)=O)[C@](O)([C@](OC)=O)[C@@]([H])6N7C)=C7C=C5OC)C[C@]1([H])C=C(CC)CN4C1.O=C(O)C(O)C(O)C(O)=O.O=C(O)C(O)C(O)C(O)=O,Vinorelbine tartrate,"3',4'-Didehydro-4'-deoxy-C'-norvincaleukoblastine [R-(R*,R*)-2-3-dihydroxybutanedioate (1:2)salt];Vinorelbine Base;kw-2307;VINORELBINE BITARTRATE;Vinorelbine ditartrate;C'-Norvincaleukoblastine, 3',4'-didehydro-4'-deoxy-;VINORELBINE BITATRATE;VINORELBINE TARTRATE;7Y89;KW 2307;vinorelbine;HS_1494;LS-97534;LS-97533;vinorelbinum;VINORELBINE DITARTRATE;CIPLUS_197023;5'-nor-anhydrovinblastine;Navelbine tartrate;Navelbine;Vinorelbine bitartrate;CIPLUS_668899;VINORELBINE;5'-NOR-ANHYDROVINBLASTINE DI-(L)-TARTRATE (SALT);Vinorelbine ditartrate salt hydrate;navelbine;KW-2307;Vinorelbine Tartrate;Vinorelbine Ditartrate;Vinorelbine tartrate;Vinorelbine;5'-Noranhydrovinoblastine tartrate;3',4'-DIDEHYDRO-4'-DEOXY-C'-NORVINCALEUKOBLASTINE DITARTRATE;NCGC00165966-01;vinorelbine tartrate;",GBABOYUKABKIAF,Tubulin polymerization inhibitor,TUBB
NCGC00167503-02,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C5=C(O)C6=C(C=C5[C@H]1C(=O)OC)C(=O)C7=CC=CC(=C7C6=O)O,Aclacinomycin A,,USZYSDMBJDPRIF,DNA Topoisomerase II Inhibitors,TOP2A
NCGC00016994-16,CC[C@@]1(O)C(=O)OC\C2=C1\C=C\3N(CC4=C3N=C5C=CC=CC5=C4)C2=O,CAMPTOTHECIN,,VSJKWCGYPAHWDS,DNA Topoisomerase I Inhibitors,TOP1
NCGC00263154-01,C[C@@H](NC1=CC=CC=C1C(O)=O)C/2=C/C(=C\N3C(=O)/C=C(\N=C23)N4CCOCC4)C,AZD-6482,,IRTDIKMSKMREGO,PI3Kbeta inhibitor,PIK3CB
NCGC00345812-01,C\C=C(C)/C(=O)O[C@H]1C(=C/[C@@]23[C@H](C)C[C@@H]4[C@H]([C@H](\C=C(CO)/[C@@H](O)[C@]12O)C3=O)C4(C)C)\C,Ingenol 3-angelate,,VDJHFHXMUKFKET,PKC Activator,PRKCA
NCGC00346803-01,OC1=C(C=C(C2=CC=CN=C12)[S+](O)([O-])=O)\N=N\C3=CC=C4C=C(C=CC4=C3)[S+](O)([O-])=O,NSC 87877,,CVFWVWGVEAVYNI,Protein Tyrosine Phosphatase SHP-2 (PTP2C) Inhibitor,PTP2C
NCGC00263119-01,CN(C)C[C@@H]1CC[N]2C=C(C3C(C(=O)NC3=O)C4=C[N](CCO1)C5=C4C=CC=C5)C6=C2C=CC=C6,Ruboxistaurin mesilate;LY-333531,,DRIXYLZMWNQAEJ,PKC beta Inhibitor,PRKCB
