,HTR2A,G9
CDK1/2 Inhibitor,NCGC00346940-01,CDK1,G9
CDK1/2 Inhibitor,NCGC00346940-01,ITK,F2
ITK inhibitor,NCGC00346941-01,CDK4,C8
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,D10
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,F2
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G8
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346951-01,CDK4,F2
CDK4/6 Inhibitor,NCGC00346952-01,CDK4,G8
CDK4/6 Inhibitor,NCGC00346952-01,CDK4,G9
CDK4/6 Inhibitor,NCGC00346952-01,LCK,F2
Lck Kinase Inhibitors,NCGC00346955-01,LCK,G8
Lck Kinase Inhibitors,NCGC00346955-01,ABL1,D10
Bcr-Abl inhibitor,NCGC00346956-01,ABL1,F2
Bcr-Abl inhibitor,NCGC00346956-01,ABL1,G8
Lck Kinase Inhibitors,NCGC00346958-01,LCK,F2
Lck Kinase Inhibitors,NCGC00346959-01,LCK,G8
Lck Kinase Inhibitors,NCGC00346959-01,CSF1R,F2
CSF1R (c-FMS) Inhibitor,NCGC00346963-01,CSF1R,G8
CSF1R (c-FMS) Inhibitor,NCGC00346963-01,CSF1R,G9
CSF1R (c-FMS) Inhibitor,NCGC00346963-01,SPHK1,F2
Sphingosine Kinase 1 (SphK1) Inhibitors,NCGC00346972-01,SPHK1,G8
Sphingosine Kinase 1 (SphK1) Inhibitors,NCGC00346972-01,SPHK1,G9
M18 Aspartyl Aminopeptidase Inhibitor,NCGC00347063-01,,F2
p97 ATPase Inhibitor,NCGC00347064-01,,G8
p97 ATPase Inhibitor,NCGC00347065-01,,F2
p97 ATPase Inhibitor,NCGC00347066-01,,G8
p97 ATPase Inhibitor,NCGC00347066-01,,G9
p97 ATPase Inhibitor,NCGC00347066-01,DDR1,F2
discoidin domain receptor tyrosine kinase (DDR1),NCGC00347217-01,DDR1,G8
discoidin domain receptor tyrosine kinase (DDR1),NCGC00347217-01,DDR1,G9
discoidin domain receptor tyrosine kinase (DDR1),NCGC00347217-01,AKT1,C8
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,D10
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,F2
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G8
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,AKT1,G9
PKB alpha/Akt1 Inhibitors,NCGC00347278-01,,C8
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,D10
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,F2
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G8
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,G9
mucosa associated lymphoid tissue lymphoma translocation 1 (MALT1) Inhibitor,NCGC00347285-01,,F2
EZH2 Methyltransferase Inhibitor,NCGC00347286-01,P2RX7,C8
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,D10
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,F2
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G8
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G9
P2X7 Receptor Antagonist,NCGC00347904-01,P2RX7,G8
P2X7 Receptor Antagonist,NCGC00347909-01,CAMKK2,F2
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00347910-01,,G8
Mutant IDH1 Inhibitor,NCGC00347934-01,SIRT2,F2
Histone Deacetylase SIRT2 Inhibitors,NCGC00347936-01,SIRT2,G9
Histone Deacetylase SIRT2 Inhibitors,NCGC00347936-01,,D10
Porcupine (Wnt) Inhibitor,NCGC00347948-01,,F2
Porcupine (Wnt) Inhibitor,NCGC00347948-01,,G9
Porcupine (Wnt) Inhibitor,NCGC00347948-01,WNT5A,G9
Wnt Signaling Inhibitor,NCGC00347949-01,,F2
Porcupine (Wnt) Inhibitor,NCGC00347950-01,,G9
Porcupine (Wnt) Inhibitor,NCGC00347950-01,,C8
Oct4 Activator,NCGC00347953-01,,D10
Oct4 Activator,NCGC00347953-01,,F2
Oct4 Activator,NCGC00347953-01,,G8
Oct4 Activator,NCGC00347953-01,,G9
Oct4 Activator,NCGC00347953-01,SHH,F2
Hedgehog agonist,NCGC00347954-01,SHH,G8
Hedgehog agonist,NCGC00347954-01,SHH,G9
Hedgehog agonist,NCGC00347954-01,NR1D1,F2
Rev-erb alpha agonist,NCGC00347956-01,NR1D1,G8
Rev-erb alpha agonist,NCGC00347956-01,NR1D1,G9
Rev-erb alpha agonist,NCGC00347956-01,,C8
beta Cell Proliferation Inducer,NCGC00347958-01,,D10
beta Cell Proliferation Inducer,NCGC00347958-01,,F2
beta Cell Proliferation Inducer,NCGC00347958-01,,G8
beta Cell Proliferation Inducer,NCGC00347958-01,,G9
beta Cell Proliferation Inducer,NCGC00347958-01,CSF1R,F2
CSF1R (c-FMS) Inhibitor,NCGC00348107-01,CSF1R,G8
Jak2 inhibitor,NCGC00014911-01,STAT3,D10
STAT-3 Inhibitor,NCGC00015735-12,STAT3,F2
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G8
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G9
STAT-3 Inhibitor,NCGC00015735-12,,D10
ICAM1 Expression Inhibitors,NCGC00015840-09,,F2
ICAM1 Expression Inhibitors,NCGC00015840-09,,G8
ICAM1 Expression Inhibitors,NCGC00015840-09,,G9
ICAM1 Expression Inhibitors,NCGC00015840-09,PTP4A1,D10
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,F2
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G8
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G9
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00016786-14,,F2
DNA Topoisomerase I Inhibitors,NCGC00016994-16,GBF1,D10
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,GBF1,G8
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,HMGCR,D10
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00017324-08,,D10
Antifungal Agent,NCGC00017338-05,,F2
Antifungal Agent,NCGC00017338-05,,G8
Antifungal Agent,NCGC00017338-05,,G9
Antifungal Agent,NCGC00017338-05,NDUFAF1,D10
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,F2
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G8
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G9
Glycogen Synthase Kinase 3 beta (GSK-3beta; tau Protein Kinase I) Inhibitor,NCGC00017363-10,ADA,D10
Adenosine Deaminase Inhibitor,NCGC00022567-08,ADA,F2
Adenosine Deaminase Inhibitor,NCGC00022567-08,ADA,G8
Adenosine Deaminase Inhibitor,NCGC00022567-08,HMGCR,D10
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00023509-14,,D10
Antineoplastic Antibiotics,NCGC00024246-13,,F2
Antineoplastic Antibiotics,NCGC00024246-13,,G8
Antineoplastic Antibiotics,NCGC00024246-13,,G9
Antineoplastic Antibiotics,NCGC00024246-13,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00024415-39,DHFR,F2
DNA Methyltransferase (DNMT) Inhibitor,NCGC00090851-09,,D10
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,F2
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G8
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G9
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,RARG,D10
RARgamma Agonist,NCGC00092284-03,RARG,F2
RARgamma Agonist,NCGC00092284-03,RARG,G8
RARgamma Agonist,NCGC00092284-03,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00093976-06,AKR1C1,D10
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,F2
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G8
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G9
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,WNT1,D10
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,F2
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G8
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G9
Anticoccidial/Antibacterial,NCGC00095055-03,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G9
Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors,NCGC00159459-02,PSMD1,D10
Proteasome Inhibitor,NCGC00161679-01,PSMD1,F2
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G8
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G9
Proteasome Inhibitor,NCGC00161679-01,PRKCA,D10
PKC Activator,NCGC00162381-03,ADH1A,D10
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,F2
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G8
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G9
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,,D10
Antineoplastic Antibiotics,NCGC00162440-01,,F2
Antineoplastic Antibiotics,NCGC00162440-01,HDAC1,D10
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,F2
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G8
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G9
HDAC1 Inhibitor,NCGC00162453-10,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,,D10
Antineoplastic Antibiotics,NCGC00163548-02,,F2
Antineoplastic Antibiotics,NCGC00163548-02,,G8
Antineoplastic Antibiotics,NCGC00163548-02,,G9
Antineoplastic Antibiotics,NCGC00163548-02,,D10
DNA Polymerase Inhibitors,NCGC00164553-03,,F2
DNA Polymerase Inhibitors,NCGC00164553-03,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00164566-02,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00164566-02,,D10
antimalarial agents,NCGC00164600-03,,F2
antimalarial agents,NCGC00164600-03,,G8
antimalarial agents,NCGC00164600-03,,G9
antimalarial agents,NCGC00164600-03,HMGCR,D10
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,F2
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G8
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G9
HMG-CoA Reductase Inhibitors,NCGC00164604-03,FLT1,F2
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,FLT1,G8
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,FLT1,G9
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,IKBKB,D10
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,F2
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G8
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G9
IKK-2 Inhibitor,NCGC00165811-03,ADORA3,D10
Adenosine A3 Antagonists,NCGC00165880-04,ADORA3,G8
Adenosine A3 Antagonists,NCGC00165880-04,ADORA3,G9
Adenosine A3 Antagonists,NCGC00165880-04,TYMS,F2
thymidylate synthase inhibitor,NCGC00166323-03,RASAL1,D10
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,F2
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G8
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G9
DNA-Directed RNA Polymerase Inhibitor,NCGC00167431-02,,D10
antimalarial agents,NCGC00167496-02,,F2
antimalarial agents,NCGC00167496-02,,G8
antimalarial agents,NCGC00167496-02,,G9
DNA Topoisomerase II Inhibitors,NCGC00167503-02,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,RRM2,D10
ribonucleotide reductase inhibitor,NCGC00168784-01,RRM2,F2
ribonucleotide reductase inhibitor,NCGC00168784-01,ACE,G8
Angiotensin-I Converting Enzyme Inhibitor,NCGC00178127-04,ACE,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00178127-04,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,,F2
Polyether Antibiotic,NCGC00179454-04,,G8
Polyether Antibiotic,NCGC00179454-04,,G9
Polyether Antibiotic,NCGC00179454-04,HTR1B,D10
5-HT1B Agonist,NCGC00181786-03,HTR1B,G8
5-HT1B Agonist,NCGC00181786-03,HTR1B,G9
5-HT1B Agonist,NCGC00181786-03,NAMPT,D10
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,F2
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G8
NMPRTase Inhibitor,NCGC00182868-02,NAMPT,G9
NMPRTase Inhibitor,NCGC00182868-02,,D10
Calcium Channel Blocker,NCGC00183837-01,,F2
Calcium Channel Blocker,NCGC00183837-01,,G8
Calcium Channel Blocker,NCGC00183837-01,,G9
Calcium Channel Blocker,NCGC00183837-01,,D10
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,F2
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,,G9
TGF-bR1 (ALK5) inhibitor,NCGC00186024-02,NFKB1,D10
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,F2
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G8
NF-kappaB signaling Inhibitor,NCGC00186460-01,NFKB1,G9
NF-kappaB signaling Inhibitor,NCGC00186460-01,BCL2L1,F2
Bcl-xL inhibitor,NCGC00188344-05,BCL2L1,G8
Bcl-xL inhibitor,NCGC00188344-05,BCL2L1,G9
Bcl-xL inhibitor,NCGC00188344-05,MTOR,D10
mTOR Inhibitor,NCGC00188346-01,MTOR,G8
mTOR Inhibitor,NCGC00188346-01,MTOR,G9
mTOR Inhibitor,NCGC00188346-01,ITK,D10
ITK inhibitor,NCGC00188382-04,ITK,F2
ITK inhibitor,NCGC00188382-04,ITK,G8
ITK inhibitor,NCGC00188382-04,ITK,G9
ITK inhibitor,NCGC00188382-04,MAP2K1,F2
MEK inhibitor,NCGC00189074-01,MAP2K1,G8
MEK inhibitor,NCGC00189074-01,MAP2K1,D10
MEK inhibitor,NCGC00189075-01,MAP2K1,F2
MEK inhibitor,NCGC00189075-01,MAP2K1,G8
MEK inhibitor,NCGC00189075-01,MAP2K1,G9
MEK inhibitor,NCGC00189075-01,TYMS,F2
thymidylate synthase inhibitor,NCGC00229704-01,ALK,F2
Anaplastic Lymphoma Kinase (ALK) Inhibitor,NCGC00238453-01,PRKCA,D10
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,F2
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G8
PKC/flt3 inhibitor,NCGC00241102-02,PRKCA,G9
PKC/flt3 inhibitor,NCGC00241102-02,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00242478-02,SRC,D10
cSRC inhibitor,NCGC00242490-02,SRC,F2
cSRC inhibitor,NCGC00242490-02,SRC,G8
cSRC inhibitor,NCGC00242490-02,SRC,G9
cSRC inhibitor,NCGC00242490-02,,F2
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,,G8
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,,G9
Glucocorticoid Receptor (GR) Agonist,NCGC00242504-01,PSMD1,D10
Proteasome Inhibitor,NCGC00242506-02,PSMD1,F2
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G8
Proteasome Inhibitor,NCGC00242506-02,PSMD1,G9
Proteasome Inhibitor,NCGC00242506-02,BIRC5,D10
Survivin inhibitor,NCGC00242514-01,BIRC5,F2
Survivin inhibitor,NCGC00242514-01,BIRC5,G8
Survivin inhibitor,NCGC00242514-01,BIRC5,G9
Survivin inhibitor,NCGC00242514-01,DHFR,F2
Dihydrofolate Reductase (DHFR) Inhibitors,NCGC00242596-01,JAK1,D10
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,F2
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G8
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G9
Jak/Tyk/Flt inhibitor,NCGC00244256-02,JAK1,G9
Jak1/2 inhibitor,NCGC00244257-01,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00247878-01,JAK2,D10
Jak2 inhibitor,NCGC00249346-02,JAK2,F2
Jak2 inhibitor,NCGC00249346-02,JAK2,G8
Jak2 inhibitor,NCGC00249346-02,JAK2,G9
Jak2 inhibitor,NCGC00249346-02,BRAF,F2
Raf kinase B/C inhibitor,NCGC00249391-01,BRAF,G8
Raf kinase B/C inhibitor,NCGC00249391-01,PSMD1,D10
Proteasome Inhibitor,NCGC00249611-03,PSMD1,F2
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249611-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249611-03,PSMD1,D10
Proteasome Inhibitor,NCGC00249612-01,PSMD1,F2
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G8
Proteasome Inhibitor,NCGC00249612-01,PSMD1,G9
Proteasome Inhibitor,NCGC00249612-01,PSMD1,D10
Proteasome Inhibitor,NCGC00249613-03,PSMD1,F2
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G8
Proteasome Inhibitor,NCGC00249613-03,PSMD1,G9
Proteasome Inhibitor,NCGC00249613-03,CAMKK2,D10
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,F2
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00250376-01,BRAF,D10
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,F2
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G8
Raf kinase B/C Inhibitor,NCGC00250380-01,BRAF,G9
Raf kinase B/C Inhibitor,NCGC00250380-01,SMO,D10
Smo Receptor Antagonist,NCGC00250382-01,SMO,F2
Smo Receptor Antagonist,NCGC00250382-01,SMO,G8
Smo Receptor Antagonist,NCGC00250382-01,SMO,G9
Smo Receptor Antagonist,NCGC00250382-01,IKBKE,D10
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,F2
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G8
IKK-epsilon Inhibitor,NCGC00250386-02,IKBKE,G9
IKK-epsilon Inhibitor,NCGC00250386-02,PRKDC,D10
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PRKDC,G8
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,PRKDC,G9
DNA-Dependent Protein Kinase (DNA-PK) Inhibitor,NCGC00250387-02,CDK1,D10
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,F2
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G8
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,CDK1,G9
CDK1/2/4/6/7/9 Inhibitor,NCGC00250401-01,PIK3CA,D10
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,PIK3CA,F2
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,PIK3CA,G8
PI3Kalpha/beta/delta/gamma Inhibitor,NCGC00250408-01,BCL2L1,D10
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,F2
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G8
Bcl-xL inhibitor,NCGC00253562-02,BCL2L1,G9
Bcl-xL inhibitor,NCGC00253562-02,PIK3CA,D10
PI3Kalpha inhibitor,NCGC00262604-01,PIK3CA,G8
PI3Kalpha inhibitor,NCGC00262604-01,JAK2,D10
Jak2 inhibitor,NCGC00262608-02,JAK2,F2
Jak2 inhibitor,NCGC00262608-02,JAK2,G8
Jak2 inhibitor,NCGC00262608-02,JAK2,G9
Jak2 inhibitor,NCGC00262608-02,SMO,F2
Smoothened (Smo) receptor agonist,NCGC00263084-02,SMO,G8
Smoothened (Smo) receptor agonist,NCGC00263084-02,SMO,G9
Smoothened (Smo) receptor agonist,NCGC00263084-02,IL2,F2
IL-12 Production Inhibitor,NCGC00263093-01,IL2,G8
IL-12 Production Inhibitor,NCGC00263093-01,IL2,G9
IL-12 Production Inhibitor,NCGC00263093-01,ATM,F2
ATM Kinase Inhibitor,NCGC00263099-01,ATM,G8
ATM Kinase Inhibitor,NCGC00263099-01,ATM,G9
ATM Kinase Inhibitor,NCGC00263099-01,HDAC1,D10
Histone Deacetylase (HDAC) Inhibitor,NCGC00263117-02,MAPK8,D10
JNK 1/2/3 Inhibitor,NCGC00263146-01,AKT1,F2
Akt1/PKA Inhibitor,NCGC00263147-01,AKT1,G8
Akt1/PKA Inhibitor,NCGC00263147-01,AKT1,G9
Akt1/PKA Inhibitor,NCGC00263147-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00263149-01,,D10
FGFR Inhibitor,NCGC00263152-02,,F2
FGFR Inhibitor,NCGC00263152-02,,G8
FGFR Inhibitor,NCGC00263152-02,,G9
FGFR Inhibitor,NCGC00263152-02,HDAC1,D10
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,F2
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G8
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,HDAC1,G9
Histone Deacetylase (HDAC) 1/2 Inhibitor,NCGC00263153-05,PDGFRA,D10
PDGFR alpha Inhibitor,NCGC00263158-01,PDGFRA,F2
PDGFR alpha Inhibitor,NCGC00263158-01,PDGFRA,G8
PDGFR alpha Inhibitor,NCGC00263158-01,PDGFRA,G9
PDGFR alpha Inhibitor,NCGC00263158-01,BCL2L1,D10
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,F2
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G8
Bcl-xL inhibitor,NCGC00263166-01,BCL2L1,G9
Bcl-xL inhibitor,NCGC00263166-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00263177-01,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00263180-01,MAP2K1,D10
MEK inhibitor,NCGC00263187-01,MAP2K1,F2
MEK inhibitor,NCGC00263187-01,MAP2K1,G8
MEK inhibitor,NCGC00263187-01,MAP2K1,G9
MEK inhibitor,NCGC00263187-01,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00263195-01,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00263195-01,TEK,G8
Tie-2 inhibitor,NCGC00263199-02,TEK,G9
Tie-2 inhibitor,NCGC00263199-02,LCK,F2
Lck Kinase Inhibitors,NCGC00263206-02,LCK,G8
Lck Kinase Inhibitors,NCGC00263206-02,LCK,G9
Lck Kinase Inhibitors,NCGC00263206-02,MTOR,D10
mTORC1 Inhibitor,NCGC00263216-02,MTOR,F2
mTORC1 Inhibitor,NCGC00263216-02,MTOR,G8
mTORC1 Inhibitor,NCGC00263216-02,HDAC1,D10
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,F2
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G8
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,HDAC1,G9
Histone Deacetylase (HDAC) Inhibitor,NCGC00263220-02,IDO1,F2
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,IDO1,G8
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,IDO1,G9
Indoleamine 2_:_3-dioxygenase (IDO) inhibitor,NCGC00263222-01,,D10
artemesinin analogue,NCGC00263265-01,,F2
artemesinin analogue,NCGC00263265-01,,G8
artemesinin analogue,NCGC00263265-01,,G9
artemesinin analogue,NCGC00263265-01,,D10
artemesinin analogue,NCGC00263268-01,,F2
artemesinin analogue,NCGC00263268-01,,G8
artemesinin analogue,NCGC00263268-01,,G9
artemesinin analogue,NCGC00263268-01,,D10
artemesinin analogue,NCGC00263270-01,,F2
artemesinin analogue,NCGC00263270-01,,G8
artemesinin analogue,NCGC00263270-01,,G9
artemesinin analogue,NCGC00263270-01,USP10,D10
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,F2
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G8
Ubiquitin Specific Peptidase (USP10/13) Inhibitors,NCGC00263555-02,USP10,G9
